"职位名称","薪资区间","经验要求","学历要求","岗位职责任职要求","工作地址","公司名称","公司规模"
"人工智能开发","20k-40k","经验3-5年 /","本科及以上 /","职责描述：1、利用相关技术和算法，提供文本分析相关的基础方案与服务； 2、针对海量文本内容进行中文分词、语义识别、自动聚类等文本挖掘工作； 3、负责搭建相关的机器学习 & 大数据计算平台；4、负责数据和业务的紧密集合。任职要求：1、3年以上相关经验，计算机、数学及相关专业本科以上学历，机器学习、自然语言处理、用户画像等算法研究方向优先； 2、了解自然语言处理基础理论和方法，了解中文分词、语义分析、文本聚类、实体识别等基础算法和应用； 3、至少熟练掌握一种编程语言JAVA/python/c/c++，有linux环境开发经验； 4、有Hadoop、spark等分布式平台建模或算法开发经验优先； 5、有深度学习研究与应用经验优先。","上海 -                    闵行区 -                    浦江                                            - 联航路1188弄浦江智谷33号楼                                                            查看地图","泛微                                                                        拉勾认证企业","http://www.weaver.com.cn                公司主页"
"人工智能研究员","25k-50k","经验3-5年 /","硕士及以上 /","岗位职责：1、负责公司人工智能相关技术创新和落地实现；包括但不限于图像识别、文本与语义处理、大数据+机器学习建模、强化学习等；2、持续跟踪AI的新算法新技术，探索此类前沿技术在金融科技中的应用，为公司人工智能发展提供技术决策支持；3、为公司业务部门赋能人工智能技术，根据业务需求设计高性能的算法和应用架构。 任职要求：1、全日制硕士及以上学历，计算机、软件、自动化、数学或相关专业。扎实的机器学习、深度学习理论和技术基础，有3年以上的相关研究或工程经验；2、熟悉至少一种深度学习开源框架（Caffe, Tensorflow, PyTorch，MXNet等），具有实际开发经验者优先；3、数学基础较好，具有良好的数学思维和逻辑思考能力，具备建模的能力；4、精通C/C++、Java、Python、matlab中至少一种语言，Python优先。","上海 -                    浦东新区                                            - 沪南路2118号BHC中环中心西21F                                                            查看地图","萨摩耶金服                                                                        拉勾认证企业","150-500人                规模"
"人工智能工程开发工程师（...","15k-30k","经验不限 /","本科及以上 /","岗位职责：负责AI人工智能产品的工程开发实现。 岗位要求：1、计算机专业本科以上毕业，至少2年以上工作经验，具备人工智能相关产品开发经验，了解各类机器学习、深度学习算法；2、熟悉计算机体系结构、数据结构和算法、操作系统等基础原理；3、熟练掌握java/C++编程语言；4、工作认真负责、耐心细致、积极肯干、能吃苦、具有团队意识。","上海 -                    浦东新区 -                    东外滩                                            - 崂山路316号                                                            查看地图","平安科技                                                                        拉勾认证企业","http://pa-tech.hirede.com...                公司主页"
"PHP开发工程师/人工智能行业","15k-20k","经验1-3年 /","本科及以上 /","岗位职责：1、负责公司平台业务层api开发2、维护现有api程序任职资格：1、计算机相关专业，本科及以上学历；2、2年及以上php开发经验；3、精通PHP面向对象的设计方法，理解MVC；4、熟练掌握mysql数据库设计、调优；5、精通Jason，熟练应用AJAX开发；6、熟悉常用缓存机制，比如memcache、redis；7、至少熟悉一种主流开发框架（tp,yii等）；8、熟悉高并发、高性能的数据库系统的应用开发，有大规模高并发访问的应用开发经验；9、具备良好的代码编程习惯、较强的文档编写能力、团队精神、学习能力和沟通能力；10、有大型网站开发经验者优先录用；11、有跨平台API开发经验优先","上海 -                    徐汇区 -                    漕河泾                                            - 上海市徐汇区虹梅路1801号凯科国际大厦                                                            查看地图","悠络客                                                                        拉勾未认证企业","http://www.ulucu.com/                公司主页"
"人工智能研发工程师","15k-30k","经验1-3年 /","本科及以上 /","岗位职责：1、基于机器学习的医学影像算法开发，包括病理图像分析、细胞分割、分类分级、信息增强、数学建模等；2、独立完成项目软件需求分析、功能设计、编码、单元测试等，并按规范输出相关文档；3、协助完成医学影像的机器学习训练，测试与数据分析。任职要求：1、本科以上学历，数字图像处理、数字信号处理或计算机相关专业毕业；2、熟悉常用数值、图像处理算法，有较好的算法基础，或具有图像处理/计算机视觉/模式识别/机器学习研发经验；3、扎实的编程基础，熟练掌握python或c++或java编程语言，具有OpenCV，OpenGL等编程开发经验者优先；4、具有医疗IT行业软件开发、熟悉病理图像处理分析者优先。5、良好的分析能力，能够基于对业务的深入理解，发现业务中的问题及解决方案。","上海 -                    徐汇区 -                    交通大学                                            - 均瑶国际广场                                                            查看地图","衡道医学                                                                        拉勾未认证企业","http://www.hengdaomed.com                公司主页"
"大数据挖掘/人工智能/神经...","20k-40k","经验1-3年 /","硕士及以上 /","工作职责： 1. 利用大数据挖掘与人工智能方法，从事信贷风控欺诈分析、信用风险分析等工作；2. 结合应用场景,综合考虑业务/数据/算法等因素,持续改进和优化产品性能；3. 开发基于金融行业大数据的人工智能应用系统和平台；推动合格有效的AI算法到公司各产品中，完善产品功能；4. 具有一定的模型理解能力和模型评价能力，能够配合人工职能科学家进行海量模型对比实验。  任职资格：1. 硕士及以上学历，数学，生物信息，计算机，神经网络，机器学习等相关专业；2. 扎实的编程基础（熟练使用Java或者Python等）；3. 有大数据处理经验（熟悉Hadoop或者Spark等分布式处理平台）；有动手建模和开发算法的实战经验。4. 熟悉以下至少一种知识技能：a. 人工智能学习的基本工作原理及其架构，包括常用的搜索理论，推理策略，人工智能架构及其编程语言等；b.人工神经网络的学习机理，人工神经网络模型等；c.常用的智能学习算法、框架和应用；d.一个或多个常见的神经网络开源工具库；5. 有互联网金融风险控制经验背景者优先；","上海 -                    杨浦区                                            - 淞沪路619号中航天盛大厦1701室                                                            查看地图","GeexFinance                                                                        拉勾认证企业","150-500人                规模"
"资深开发工程师／架构师（人...","20k-40k","经验1-3年 /","本科及以上 /","职责描述：1   负责大数据相关服务系统的架构设计与功能开发;2   对现有系统的不足进行分析，改进优化系统性能;3   参与产品规划讨论，制定项目开发计划，支撑业务的快速迭代;4   参与项目质量审核，提升团队开发质量和效率;5   为团队引入创新的技术、创新的解决方案，用创新的思路解决问题；技能要求：1   1年以上使用JAVA开发的经验，互联网背景优先； 2   JAVA基础扎实，理解IO、多线程、集合等基础框架，对JVM原理有一定的了解； 3   熟悉基于J2EE的WEB架构设计，熟悉Web开发流程，熟悉常用Web（Spring）开发框架；4   熟悉Redis, Hadoop, Spark等开源项目，能合理进行技术选型，善于解决问题；5   熟练使用Linux 操作系统和大型数据库； 熟悉Tomcat等应用服务器的配置和优化；具有良好的沟通能力、组织能力及团队协作精神，有较强的分析和解决问题的能力.","上海 -                    普陀区 -                    长征                                            - 金沙江路1518弄近铁城市广场北座4楼401室                                                            查看地图","饿了么                                                                        拉勾认证企业","2000人以上                规模"
"人工智能专家","90k-100k","经验5-10年 /","本科及以上 /","工作职责：1、负责沪江人工智能、深度学习领域的研发工作与团队搭建；2、将人工智能应用于在线学习领域，包括自适应学习、智能问答、智能学习助理等；3、负责人工智能前沿技术领域探索，包括但不限于自然语言处理、个性化推荐、人机语音交互等。任职资格：1、5年以上大数据和机器学习实践经验，精通如下一个或多个领域：自然语言处理、机器学习、数据挖掘等；2、熟悉机器学习常用算法，熟悉各种深度学习模型，如CNN，DNN，RNN等；3、熟悉常用的深度学习开源软件，如Caffe，Tensorflow，Theano，Deeplearning4j等；4、较强工程能力，有生产环境下智能系统开发或大规模数据处理经验者优先；5、在人工智能领域有一定人脉积累，热爱并认同互联网教育行业；6、对人工智能技术在互联网教育领域的应用有兴趣者优先。","上海 -                    浦东新区 -                    张江                                            - 浦东软件园博云路2号浦软大厦6-8楼                                                            查看地图","沪江                                                                        拉勾认证企业","500-2000人                规模"
"人工智能咨询顾问","20k-30k","经验5-10年 /","本科及以上 /","主要职责：现有客户的售前和售中支持，理解客户痛点和需求，提出解决方案。市场推广和潜在客户的发掘，推介公司的产品和服务。指导和协助客户进行数字化智能化战略制定，规划实施路径。人工智能项目的实施落地，负责客户业务方和公司技术团队的对接。把握行业动态，提交高质量的行业分析研究报告支持内部和外部决策。任职要求：技术咨询或战略咨询背景。企业数字化智能化经验。理解大数据人工智能技术及其业务场景和价值。优秀的行业分析研究和文案、方案撰写能力。出色的表达，沟通和演讲能力。6、富有激情，善于学习，乐于合作。","上海 -                    徐汇区 -                    田林                                            - 宜山路700号                                                            查看地图","竹间智能科技(上海)有限公司                                                                        拉勾认证企业","http://www.myemotibot.com                公司主页"
"人工智能训练与数据处理实...","2k-3k","经验应届毕业生 /","本科及以上 /","职责：-按要求生成中文素材。-按要求进行人工智能训练。-执行数据挖掘与处理的相关工作。-负责相关项目管理的工作。任职要求：-不！需！要！有任何人工智能行业的基础。-对人工智能和其应用领域有强烈的兴趣，特别是对于有逼格的行业。（因为你将直接参与到世界500强的人工智能项目中）-本科或以上院校在读学生-文科专业或英语专业（加分项）-卓越的语言表达能力（加分项）-有可自由支配的时间，极强的时间管理能力，能准时完成分配的工作-极强的责任心，精益求精，并热爱追求卓越-较强的逻辑思维能力（加分项）你将：-获得人工智能行业内顶级专家的培训；-获得参与世界500强公司人工智能项目的经验；-获得人工智能行业的专业技能；-有机会加入公司的核心团队；-有机会成长为国内第一批高质量的人工智能训练人才；-有机会和国内第一批高质量人工智能产品经理进行学习交流；-有机会和有工匠精神的工程师而不是码农进行学习交流；","上海 -                    黄浦区 -                    外滩                                            - 外滩                                                            查看地图","S先生                                                                        拉勾认证企业","http://www.mrs.ai                公司主页"
"人工智能开发工程师-AI","20k-40k","经验3-5年 /","博士及以上 /","岗位职责： 1. 负责机器学习，深度学习领域的技术研发工作； 2. 人工智能相关前沿算法的研究，包括推荐，知识图谱等技术的研究； 3. 负责深度学习，强化学习平台的选型，框架搭建，开发及优化； 4. 探索AI在主动学习，自适应学习方面的应用 5. 开发基于互联网教育大数据的人工智能应用系统和平台 6. 不断改进算法及工程实现任职要求： 1. 热衷于人工智能、机器学习、在线教育领域 2. 喜欢探索研究新技术 3. 熟悉深度神经网络的常用模型（CNN、RBN、RCNN、DNN等），并能够将其应用特定场景中；熟练掌握常用的统计机器学习算法（神经网络、逻辑回归、决策树、SVM、Boosting等） 4. 精通至少一种主流架构，具备大型项目的开发经历 5. 计算机，数学，统计学相关专业优先","上海 -                    徐汇区                                            - 沪闵路9505号                                                            查看地图","上海知墨                                                                        拉勾未认证企业","http://wx.zhimo.co                公司主页"
"人工智能开发经理","25k-40k","经验3-5年 /","本科及以上 /","职位描述：    1、利用相关技术和算法，提供文本分析相关的基础方案与服务；     2、针对海量文本内容进行中文分词、语义识别、自动聚类等文本挖掘工作；     3、负责搭建相关的机器学习 & 大数据计算平台；    4、负责数据和业务的紧密集合。    任职条件 ：    1、3年以上相关经验，计算机、数学及相关专业本科以上学历，机器学习、自然语言处理、用户画像等算法研究方向优先；     2、了解自然语言处理基础理论和方法，了解中文分词、语义分析、文本聚类、实体识别等基础算法和应用；     3、至少熟练掌握一种编程语言JAVA/python/c/c++，有linux环境开发经验；     4、有Hadoop、spark等分布式平台建模或算法开发经验优先；     5、有深度学习研究与应用经验优先。    ","上海市 -                    闵行区 -                    浦江                                            - 联航路1188弄浦江智谷33号楼                                                            查看地图","泛微                                                                        拉勾认证企业","http://www.weaver.com.cn                公司主页"
"互联网技术中心-智能服务...","10k-20k","经验3-5年 /","硕士及以上 /","岗位职责：1、负责人工智能语义分析服务平台的设计和开发，应用于线上线上产品和功能；2、负责自然语言处理相关前沿算法的研究和应用，实现和优化自然语言相关算法；3、负责深度学习、图像理解、机器学习等前沿技术的研发、储备和平台建设；4、思路清晰，新事物的接受能力强，能够承受一定的工作压力； 岗位要求：1、计算机相关专业硕士及以上学历；2、有深度学习和神经网络模型经验者优先，熟悉机器学习相关领域的算法，具备复杂算法分析和调优能力；至少使用深度学习技术解决过一个实际问题(如：人脸识别、语音识别、车辆识别、场景识别等等)；3、熟悉和掌握C/C++和脚本语言编程(如Shell, Python, Perl等)  4、熟悉大规模并行计算的基本原理并具有实现并行计算算法的基本能力5、良好沟通能力，有高度的责任心和团队协作精神，能够承受一定的工作压力。","上海 -                    浦东新区 -                    曹路                                            - 上海市浦东新区来安路685号                                                            查看地图","国泰君安证券股份有限公司                                                                        拉勾认证企业","http://www.gtja.com                公司主页"
"人工智能开发工程师","40k-80k","经验3-5年 /","本科及以上 /","岗位职责：负责机器学习和计算机视觉算法的研究与开发，包括：1、机器学习训练数据的采集、整理，以及编写预处理工具集；2、机器学习与视频分析算法实现、优化和性能测试；3、搭建基于C++、Java的机器学习系统；4、学习掌握业界前沿的研究成果，并转化为工程可实现的算法；5、撰写发明专利、技术规范和软件文档，为工程和市场人员提供技术支持。任职资格：1、具有计算机、电子工程、数学等相关专业本科及以上学历 (硕士以上优先) ；2、具有机器学习、并行计算、体系结构等领域的专业知识和研发经验，对并行算法设计有深刻理解；3、三年以上算法设计和软件开发经验；4、精通C/C++、Matlab或Python等编程和算法设计工具，熟悉GPU或嵌入式处理器编程；5、具有良好的沟通能力和表达能力，有较强的英文资料阅读能力；6、正直诚信，具有团队合作精神，具有较强的责任心和工作热情，学习和抗压能力强。工作地址","上海 -                    黄浦区 -                    人民广场                                            - 新金桥广场                                                            查看地图","咪咕                                                                        拉勾认证企业","http://www.migu.cn/                公司主页"
"人工智能技术顾问","10k-15k","经验1-3年 /","大专及以上 /","岗位职责：1、负责人工智能课程日常学员的答疑以及作业批改；2、负责人工智能课程日常直播答疑课程等相关工作；3、参与人工智能课程项目、案例的研发与讲解；4、负责完成领导安排的其它课程相关工作。任职要求：1、大专以上学历，24-30岁之间；2、计算机或者统计学相关专业；3、3年以上计算机相关从业工作经验，具有人工智能相关工作经验者优先；4、现阶段主要从事人工智能方向的研发,教学等工作；5、具有较强的学习能力及良好的人际交往和沟通能力；6，能够承受工作压力，具备独立解决问题的能力和优秀的团队合作精神；7、有相关讲师授课经验者优先考虑；8、熟悉常用机器学习算法、深度学习算法者优先考虑。","上海 -                    浦东新区 -                    洋泾                                            - 世纪大道1500号东方大厦4楼（近向城路）                                                            查看地图","北风网                                                                        拉勾认证企业","150-500人                规模"
"人工智能语音训练师","13k-18k","经验1年以下 /","本科及以上 /","1、负责智能客服机器人知识库的构建、录入、训练；2、负责语音识别训练。    任职要求：   1、熟悉证券金融业务，有数据标注及证券/基金等金融行业相关背景的优先；2、专科及以上学历，具有良好的学习能力、沟通表达能力、理解能力和逻辑思维能力；3、心思细腻有耐心，主动性强，富有责任感；4、可以接受出差安排；5、有软件测试经验者优先。    ","上海 -                    浦东新区 -                    金桥                                            - 新金桥路27号                                                            查看地图","证通股份                                                                        拉勾认证企业","http://www.ect888.com                公司主页"
"人工智能产品经理","20k-30k","经验5-10年 /","本科及以上 /","职责描述：1．负责行业需求调研和分析，包括但不限于零售，餐饮，教育，安防，工业，定位公司相关的人工智能技术在各个行业中的场景落地和应用；2．负责根据行业洞察和需求分析，以及对公司技术的了解，制定公司的产品定位、roadmap发展规划；3．负责撰写和审核产品设计、需求文档，绘制产品模型并且持续优化、改进产品；4．负责领导和推动产品目标的实现，跟踪进度并组织协调设计、开发、测试、发布等团队，确保产品上线的时间、质量。5．负责产品跟踪以及生命周期管理，以便对产品进行持续性改进和优化。 任职要求：1. 3-6年产品经理相关工作经历，对AI行业有热情，热衷尝试各种产品，对市场有敏锐的洞察力和独到认识；2. 具备良好的需求分析能力、目标拆分能力、沟通协调能力；3. 结果导向、责任感强、抗压能力强、思维严谨、关注细节；4. 本科及以上学历， 电子、计算机相关专业背景优先。加分项：1．对零售，特别是服装零售行业有深入理解；2．有过创业公司从0到1的经验。","上海 -                    徐汇区 -                    漕河泾                                            - 宜山路700号普天信息产业园B2楼902                                                            查看地图","Xmov                                                                        拉勾未认证企业","15-50人                规模"
"算法工程师（人工智能）","20k-25k","经验1-3年 /","本科及以上 /","岗位职责：1、负责 Web 后端相关的数据处理和服务开发，提供给前端设计和性能良好的 HTTP 接口2、负责网站和 App 服务端、Restful API 的开发3、负责后台系统开发，开发和维护编辑和管理数据系统4、使用算法模型完成图像识别、机器学习、数据处理等开发。技术要求：1、 计算机科学等相关专业本科，熟悉Python 语言，熟悉 Linux 工作环境；2、熟悉常见机器学习算法，如逻辑回归、SVM、神经网络、决策树、贝叶斯等；熟悉TensorFlow等模型；3、了解JavaScript，CSS等前端技术，有前端开发经验优先；4、 熟悉常用的数据存储系统和性能优化技巧，比如 MongoDB、MySQL、Redis5、 熟悉常用的版本控制软件，如SVN、GIT；平时使用 GIT，具有良好的编码风格和架构意识6、具备优秀的理解、沟通、学习能力，较强的自我驱动力7、对数据统计类产品有开发经验者优先，机器学习及数据挖掘经验者优先，有完整互联网产品开发经验优先","上海 -                    浦东新区 -                    张江                                            - 纳贤路800号217                                                            查看地图","麦子科技                                                                        拉勾未认证企业","https://www.lagou.com/gon...                公司主页"
"人工智能平台开发工程师","20k-40k","经验3-5年 /","本科及以上 /","工作职责：1、采用Go语言(Golang)开发稳健、可扩展的AI PaaS服务分布式系统；2、通过单元测试、集成测试、自动化等手段提升优化AI PaaS服务系统的稳定性和可维护性； 3、同产品和设计团队协作，理解和分析产品需求，并通过技术手段优化产品功能4、重点及难点技术攻坚，并按时交付研究成果。任职资格：1.具备至少2年以上后台开发经验，熟练理解使用基本的数据结构和算法。2.有Linux系统编程和网络编程经验，至少2年以上服务端系统开发经验。3.至少熟悉Golang/C/C++内其中一种常见服务端开发语言。4.熟悉Python/Bash 等常见脚本开发语言，熟悉git等版本管理工具5有过互联网业务系统或相关技术产品开发经验，具备分布式系统开发经验的优先。. 6. 熟悉Redis，Mysql，NGINX，Docker等开源软件，深刻理解其原理和使用场景者优先。7. 熟悉TensorFlow, Caffe, MXNet等深度学习框架者优先","上海 -                    杨浦区                                            - 上海市杨浦区隆昌路619号10号楼B座                                                            查看地图","UCloud                                                                        拉勾认证企业","500-2000人                规模"
"人工智能算法工程师","10k-20k","经验1-3年 /","本科及以上 /","岗位职责：1. 负责或参与太平人工智能平台建设，确保该项目按时、高质量交付； 2. 负责或参与联合创新实验室相关工作，确保AI技术成果在保险各业务条线的应用落地； 3. 掌握大数据、人工智能等关键技术和关键应用； 4. 辅导初级技术人员。 任职要求： 1. 计算机（机器学习、人工智能等方向）、数学、统计或相关专业硕士及以上学历； 2. 具有较强的编程能力，熟练掌握Python或R编程语言； 3. 熟悉机器学习各种算法，包括聚类、分类、SVM等算法； 4. 熟悉深度神经网络的常用模型，并能够将其应用特定场景中； 5. 在计算机视觉、自然语言处理、知识图谱、智能问答等一个或多个领域有较丰富的应用经验； 6. 熟悉深度学习开源框架如TensorFlow，PyTorch使用者优先； 7. 具有保险行业经验者优先； 8. 具有项目管理经验者优先； 9. 具有较好的沟通技能，良好的团队合作精神。","上海 -                    浦东新区 -                    唐镇                                            - 卡园三路58号                                                            查看地图","太平金科                                                                        拉勾未认证企业","http://www.cntaiping.com                公司主页"
